Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
113,Montreal Canadiens,John Mooney,US,C,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,moonejo01
114,New Jersey Devils,Gustav Hillstrom,SE,C,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,,,hillsgu01
115,San Jose Sharks,Ilyas Magomedsultanov,RU,D,18,,Yaroslavl Jr. (Russia-Jr.),,,,,,,,,,,,,,magomil01
116,Buffalo Sabres,Samuel Meloche,CA,G,18,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,melocsa01
117,Edmonton Oilers,David Lewandowski,DE,LW,18,,Saskatoon Blades (WHL),,,,,,,,,,,,,,lewanda01
118,Colorado Avalanche,Linus Funck,SE,D,18,,Lulea Jr. (Sweden-Jr.),,,,,,,,,,,,,,funckli01
119,Detroit Red Wings,Michal Svrcek,SK,LW,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,,,svrcemi01
120,Los Angeles Kings,Caeden Herrington,US,D,19,,Lincoln (USHL),,,,,,,,,,,,,,herrica01
121,Minnesota Wild,Lirim Amidovski,CA,RW,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,amidoli01
122,Nashville Predators,Alex Huang,CA,D,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,,,huangal01
123,Minnesota Wild,Carter Klippenstein,CA,C,18,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,klippca01
124,San Jose Sharks,Zachary Sharp,US,D,20,,Western Michigan (NCHC),,,,,,,,,,,,,,sharpza01
125,Los Angeles Kings,Jimmy Lombardi,CA,C,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,lombaji01
126,Dallas Stars,Brandon Gorzynski,US,C,18,,Calgary Hitmen (WHL),,,,,,,,,,,,,,gorzybr01
127,Tampa Bay Lightning,Aiden Foster,CA,C,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,fosteai01
128,Florida Panthers,Shea Busch,CA,LW,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,buschsh01
129,Florida Panthers,Shamar Moses,CA,RW,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,mosessh01
130,Pittsburgh Penguins,Ryan Miller,CA,C,18,,Portland Winterhawks (WHL),,,,,,,,,,,,,,millery02
131,Edmonton Oilers,Asher Barnett,US,D,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,barneas01
132,Philadelphia Flyers,Max Westergard,FI,LW,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,westema01
133,Boston Bruins,Cole Chandler,CA,C,18,,Shawinigan Cataractes (QMJHL),,,,,,,,,,,,,,chandco01
134,Seattle Kraken,Maxim Agafonov,RU,D,18,,Ufa Jr. (Russia-Jr.),,,,,,,,,,,,,,agafoma01
135,Buffalo Sabres,Noah Laberge,CA,D,18,,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,,,,laberno01
136,Anaheim Ducks,Alexis Mathieu,CA,D,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,mathial01
137,Toronto Maple Leafs,William Belle,CN,RW,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,bellewi01
138,New York Islanders,Sam Laurila,US,D,19,,Fargo (USHL),,,,,,,,,,,,,,laurisa01
139,New York Rangers,Zeb Lindgren,SE,D,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,,lindgze01
140,Detroit Red Wings,Nikita Tyurin,RU,D,18,,Spartak Jr. (Russia-Jr.),,,,,,,,,,,,,,tyurini01
141,Minnesota Wild,Justin Kipkie,CA,D,20,,Victoria Royals (WHL),,,,,,,,,,,,,,kipkiju01
142,Phoenix Coyotes,Ivan Tkach-Tkachenko,RU,G,18,,Ufa Jr. (Russia-Jr.),,,,,,,,,,,,,,tkachiv02
143,Vancouver Canucks,Wilson Bjorck,SE,C,19,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,,bjorcwi01
144,Calgary Flames,Ethan Wyttenbach,US,LW,18,,Sioux Falls (USHL),,,,,,,,,,,,,,wytteet01
145,Montreal Canadiens,Alexis Cournoyer,CA,G,19,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,,,cournal01
146,Dallas Stars,Atte Joki,FI,C,18,,Lukko Jr. (Finland-Jr.),,,,,,,,,,,,,,jokiat01
147,St. Louis Blues,Mikhail Fyodorov,RU,RW,18,,Magnitogorsk Jr. (Russia-Jr.),,,,,,,,,,,,,,fyodomi01
148,Pittsburgh Penguins,Quinn Beauchesne,CA,D,18,,Guelph Storm (OHL),,,,,,,,,,,,,,beaucqu01
149,Ottawa Senators,Dmitri Isayev,RU,LW,18,,Yekaterinburg Jr. (Russia-Jr.),,,,,,,,,,,,,,isayedm01
150,San Jose Sharks,Max Heise,CA,C,19,,Penticton (BCHL),,,,,,,,,,,,,,heisema01
151,Tampa Bay Lightning,Everett Baldwin,US,D,18,,St. George'S School (HIGH-RI),,,,,,,,,,,,,,baldwev01
152,Los Angeles Kings,Petteri Rimpinen,FI,G,19,,K-Espoo (Finland),,,,,,,,,,,,,,rimpipe01
153,Toronto Maple Leafs,Harry Nansi,CA,RW,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,nansiha01
154,Pittsburgh Penguins,Jordan Charron,CA,RW,18,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,,,charrjo01
155,Washington Capitals,Jackson Crowder,US,C,18,,Chicago (USHL),,,,,,,,,,,,,,crowdja01
156,Winnipeg Jets,Viktor Klingsell,SE,RW,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,,klingvi01
157,Philadelphia Flyers,Luke Vlooswyk,CA,D,18,,Red Deer Rebels (WHL),,,,,,,,,,,,,,vlooslu01
158,Dallas Stars,Mans Goos,SE,G,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,,goosma01
159,Anaheim Ducks,Emile Guite,CA,LW,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,,,guiteem01
160,Columbus Blue Jackets,Owen Griffin,CA,C,18,,Oshawa Generals (OHL),,,,,,,,,,,,,,griffow01
161,New Jersey Devils,David Rozsival,CZ,RW,18,,Liberec Jr. (Czech-Jr.),,,,,,,,,,,,,,rozsida01
162,Chicago Blackhawks,Ashton Cumby,CA,D,20,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,cumbyas01
163,Nashville Predators,Daniel Nieminen,FI,D,19,,Pelicans (Finland),,,,,,,,,,,,,,niemida01
164,Philadelphia Flyers,Nathan Quinn,CA,C,18,,Quebec Remparts (QMJHL),,,,,,,,,,,,,,quinnna01
165,Boston Bruins,Kirill Yemelyanov,RU,C,18,,Yaroslavl Jr. (Russia-Jr.),,,,,,,,,,,,,,yemelki01
166,New York Rangers,Samuel Jung,CZ,RW,19,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,jungsa01
167,Buffalo Sabres,Ashton Schultz,US,C,18,,Chicago (USHL),,,,,,,,,,,,,,schulas01
168,Anaheim Ducks,Anthony Allain-Samake,CA,D,18,,Sioux City (USHL),,,,,,,,,,,,,,allaian01
169,Pittsburgh Penguins,Carter Sanderson,US,LW,18,,Muskegon (USHL),,,,,,,,,,,,,,sandeca01
170,New York Islanders,Burke Hood,CA,G,18,,Vancouver Giants (WHL),,,,,,,,,,,,,,hoodbu01
171,New York Rangers,Evan Passmore,CA,D,18,,Barrie Colts (OHL),,,,,,,,,,,,,,passmev01
172,Detroit Red Wings,Will Murphy,CA,D,18,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,,,murphwi01
173,Columbus Blue Jackets,Victor Raftheim,SE,D,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,,,rafthvi01
174,Phoenix Coyotes,Ludvig Johnson,CH,D,19,,Zug (Swiss),,,,,,,,,,,,,,johnslu02
175,Vancouver Canucks,Gabriel Chiarot,CA,RW,18,,Brampton Steelheads (OHL),,,,,,,,,,,,,,chiarga01
176,Calgary Flames,Aiden Lane,CA,RW,18,,St. Andrews College (HIGH-ON),,,,,,,,,,,,,,laneai01
177,Montreal Canadiens,Carlos Handel,DE,D,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,handeca01
178,New Jersey Devils,Sigge Holmgren,SE,D,18,,Brynas U18 (Sweden-Jr.),,,,,,,,,,,,,,holmgsi01
179,St. Louis Blues,Love Harenstam,SE,G,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,,harenlo01
180,Washington Capitals,Aron Dahlqvist,SE,D,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,,,dahlqar01
181,Ottawa Senators,Bruno Idzan,HR,LW,19,,Lincoln (USHL),,,,,,,,,,,,,,idzanbr01
182,Phoenix Coyotes,Reko Alanko,FI,D,18,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,,alankre01
183,Carolina Hurricanes,Viggo Nordlund,SE,LW,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,,nordlvi01
184,Los Angeles Kings,Jan Chovan,SK,C,18,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,,,chovaja02
185,Toronto Maple Leafs,Rylan Fellinger,CA,D,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,felliry01
186,Vegas Golden Knights,Alexander Weiermair,US,C,20,,Portland Winterhawks (WHL),,,,,,,,,,,,,,weieral01
187,Vegas Golden Knights,Gustav Sjoqvist,SE,D,19,,Aik (Sweden-2),,,,,,,,,,,,,,sjoqvgu01
188,Winnipeg Jets,Edison Engle,US,D,18,,Dubuque (USHL),,,,,,,,,,,,,,engleed01
189,Montreal Canadiens,Andrew MacNiel,CA,D,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,macnian01
190,Dallas Stars,Dawson Sharkey,CA,RW,19,,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,,,,sharkda01
191,Edmonton Oilers,Daniel Salonen,FI,G,19,,Lukko Jr. (Finland-Jr.),,,,,,,,,,,,,,salonda01
192,Florida Panthers,Arvid Drott,SE,RW,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,,drottar01
193,Tampa Bay Lightning,Caleb Heil,US,G,19,,Madison (USHL),,,,,,,,,,,,,,heilca01
194,Chicago Blackhawks,Ilya Kanarsky,RU,G,20,,Akm Tula Jr. (Russia-Jr.),,,,,,,,,,,,,,kanaril01
195,Buffalo Sabres,Melvin Novotny,SE,LW,18,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,,,novotme01
196,Los Angeles Kings,Brendan McMorrow,US,C,19,,Waterloo (USHL),,,,,,,,,,,,,,mcmorbr01
197,Florida Panthers,Brendan Dunphy,US,D,19,,Wenatchee Wild (WHL),,,,,,,,,,,,,,dunphbr01
198,Columbus Blue Jackets,Jeremy Loranger,CA,C,18,,Sherwood Park (BCHL),,,,,,,,,,,,,,loranje01
199,Buffalo Sabres,Yevgeni Prokhorov,BY,G,18,,Dinamo-Shinnik Jr. (Russia-Jr.),,,,,,,,,,,,,,prokhye01
200,Anaheim Ducks,Brady Turko,CA,RW,18,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,turkobr01
201,Pittsburgh Penguins,Kale Dach,CA,C,18,,Sherwood Park (BCHL),,,,,,,,,,,,,,dachka01
202,New York Islanders,Jacob Kvasnicka,US,RW,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,kvasnja01
203,New York Rangers,Felix Farhammar,SE,D,18,,Orebro Jr. (Sweden-Jr.),,,,,,,,,,,,,,farhafe01
204,Detroit Red Wings,Grayden Robertson-Palmer,CA,C,18,,Phillips Andover Academy (High-MA),,,,,,,,,,,,,,robergr01
205,Seattle Kraken,Karl Annborn,SE,D,18,,Hv71 Jr. (Sweden-Jr.),,,,,,,,,,,,,,annboka01
206,Tampa Bay Lightning,Roman Luttsev,RU,C,19,,Yaroslavl Jr. (Russia-Jr.),,,,,,,,,,,,,,luttsro01
207,Vancouver Canucks,Matthew Lansing,US,C,18,,Fargo (USHL),,,,,,,,,,,,,,lansima01
208,Calgary Flames,Jakob Leander,SE,D,18,,Hv71 Jr. (Sweden-Jr.),,,,,,,,,,,,,,leandja01
209,Montreal Canadiens,Maxon Vig,US,D,19,,Cedar Rapids (USHL),,,,,,,,,,,,,,vigma01
210,San Jose Sharks,Richard Gallant,US,LW,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,gallari01
211,Calgary Flames,Yan Matveiko,RU,LW,19,,Cska Jr. (Russia-Jr.),,,,,,,,,,,,,,matveya01
212,Tampa Bay Lightning,Grant Spada,CA,D,18,,Guelph Storm (OHL),,,,,,,,,,,,,,spadagr01
213,Ottawa Senators,Andrei Trofimov,RU,G,19,,Magnitogorsk Jr. (Russia-Jr.),,,,,,,,,,,,,,trofian01
214,Colorado Avalanche,Nolan Roed,US,C,19,,Tri-City (USHL),,,,,,,,,,,,,,roedno01
215,Tampa Bay Lightning,Marco Mignosa,CA,RW,20,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,,,mignoma01
216,Los Angeles Kings,William Sharpe,CA,D,18,,Kelowna Rockets (WHL),,,,,,,,,,,,,,sharpwi01
217,Toronto Maple Leafs,Matthew Hlacar,CA,LW,19,,Kitchener Rangers (OHL),,,,,,,,,,,,,,hlacama01
218,Seattle Kraken,Loke Krantz,SE,RW,18,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,,krantlo01
219,Buffalo Sabres,Ryan Rucinski,US,C,18,,Youngstown (USHL),,,,,,,,,,,,,,rucinry01
220,Winnipeg Jets,Jacob Cloutier,CA,RW,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,cloutja02
221,Carolina Hurricanes,Filip Ekberg,SE,RW,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,ekberfi01
222,Dallas Stars,Charlie Paquette,CA,RW,19,,Guelph Storm (OHL),,,,,,,,,,,,,,paquech02
223,Edmonton Oilers,Aidan Park,US,C,19,,Green Bay (USHL),,,,,,,,,,,,,,parkai01
224,Florida Panthers,Yegor Midlak,RU,G,18,,Spartak Jr. (Russia-Jr.),,,,,,,,,,,,,,midlaye01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/draft/NHL_2025_entry.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 4/28/2026.
