Player,Career Earnings (millions),Contract Type,Salary Cap Hit (millions),Signing GM
Leon Draisaitl,87.19,STD,14.000,Stan Bowman
Auston Matthews,92.79,STD,13.250,Brad Treliving
Nathan MacKinnon,95.84,STD,12.600,Chris MacFarland
Connor McDavid,102.72,STD,12.500,Peter Chiarelli
Mitch Marner,83.07,STD,12.000,Brad Treliving
Mikko Rantanen,73.17,STD,12.000,Jim Nill
Artemi Panarin,95.08,STD,11.643,Jeff Gorton
Elias Pettersson (C),53.75,STD,11.600,Patrik Allvin
Erik Karlsson,132.58,STD,11.500,Doug Wilson
William Nylander,74.61,STD,11.500,Brad Treliving
David Pastrňák,81.21,STD,11.250,Don Sweeney
Drew Doughty,135.57,STD,11.000,Rob Blake
Rasmus Dahlin,45.71,STD,11.000,Kevyn Adams
Evan Bouchard,21.96,STD,10.500,Stan Bowman
Jonathan Huberdeau,76.03,STD,10.500,Brad Treliving
Aleksander Barkov,85.71,STD,10.000,Bill Zito
Jack Eichel,82.72,STD,10.000,Jason Botterill
Tyler Seguin,109.21,STD,9.850,Jim Nill
Sebastian Aho,69.01,STD,9.750,Don Waddell
Zach Werenski,60.73,STD,9.583,Jarmo Kekalainen
Alex Ovechkin,174.41,STD,9.500,Brian MacLellan
Mark Stone,89.62,STD,9.500,George McPhee
Nikita Kucherov,85.39,STD,9.500,Steve Yzerman
Seth Jones,80.62,STD,9.500,Stan Bowman
Brayden Point,72.60,STD,9.500,Julien BriseBois
Matthew Tkachuk,66.47,STD,9.500,Brad Treliving
Charlie McAvoy,60.63,STD,9.500,Don Sweeney
Adam Fox,47.23,STD,9.500,Chris Drury
Noah Dobson,26.56,STD,9.500,Mathieu Darche
Darnell Nurse,64.54,STD,9.250,Ken Holland
Mathew Barzal,51.05,STD,9.150,Lou Lamoriello
Roman Josi,88.83,STD,9.059,David Poile
Dougie Hamilton,86.56,STD,9.000,Tom Fitzgerald
Jake Guentzel,55.30,STD,9.000,Julien BriseBois
Kirill Kaprizov,45.89,STD,9.000,Bill Guerin
Jakob Chychrun,41.32,STD,9.000,Chris Patrick
Cale Makar,49.02,STD,9.000,Joe Sakic
Luke Hughes,10.83,STD,9.000,Tom Fitzgerald
Alex Pietrangelo,100.70,STD,8.800,Kelly McCrimmon
Timo Meier,60.54,STD,8.800,Tom Fitzgerald
Travis Konecny,46.69,STD,8.750,Daniel Briere
Sidney Crosby,160.18,STD,8.700,Kyle Dubas
Dylan Larkin,64.22,STD,8.700,Steve Yzerman
Patrik Laine,58.53,STD,8.700,Jarmo Kekalainen
Sam Reinhart,55.63,STD,8.625,Bill Zito
Moritz Seider,19.65,STD,8.550,Steve Yzerman
Brock Faber,11.82,STD,8.500,Bill Guerin
Mika Zibanejad,73.13,STD,8.500,Chris Drury
Mark Scheifele,71.54,STD,8.500,Kevin Cheveldayoff
Filip Forsberg,78.63,STD,8.500,David Poile
Bo Horvat,61.14,STD,8.500,Lou Lamoriello
Nikolaj Ehlers,54.63,STD,8.500,Eric Tulsky
Ivan Provorov,52.20,STD,8.500,Don Waddell
Pierre-Luc Dubois,50.25,STD,8.500,Kevin Cheveldayoff
Mikhail Sergachev,50.21,STD,8.500,Julien BriseBois
Roope Hintz,44.25,STD,8.450,Jim Nill
Miro Heiskanen,46.63,STD,8.450,Jim Nill
Wyatt Johnston,11.04,STD,8.400,Jim Nill
Tim Stützle,23.23,STD,8.350,Pierre Dorion
Owen Power,18.59,STD,8.350,Kevyn Adams
Brady Tkachuk,44.72,STD,8.206,Pierre Dorion
Tomáš Hertl,69.72,STD,8.138,Doug Wilson
Jordan Kyrou,37.38,STD,8.125,Doug Armstrong
Robert Thomas,38.72,STD,8.125,Doug Armstrong
Lucas Raymond,18.88,STD,8.075,Steve Yzerman
Jake Sanderson,18.06,STD,8.050,Pierre Dorion
Jack Hughes,37.23,STD,8.000,Tom Fitzgerald
Steven Stamkos,126.33,STD,8.000,Barry Trotz
Logan Couture,96.16,STD,8.000,Doug Wilson
John Carlson,90.31,STD,8.000,Brian MacLellan
Victor Hedman,95.65,STD,8.000,Julien BriseBois
J.T. Miller,62.76,STD,8.000,Patrik Allvin
Jacob Trouba,70.15,STD,8.000,Jeff Gorton
Pavel Buchnevich,40.43,STD,8.000,Doug Armstrong
Sam Bennett,39.62,STD,8.000,Bill Zito
Thomas Chabot,48.60,STD,8.000,Pierre Dorion
Joshua Norris,32.33,STD,7.950,Pierre Dorion
Nick Suzuki,41.26,STD,7.875,Marc Bergevin
Kevin Fiala,45.80,STD,7.875,Rob Blake
Alex DeBrincat,46.21,STD,7.875,Steve Yzerman
Jesper Bratt,41.13,STD,7.875,Tom Fitzgerald
Shea Weber,132.83,STD,7.857,David Poile
Quinn Hughes,40.75,STD,7.850,Jim Benning
Cole Caufield,31.66,STD,7.850,Kent Hughes
Jason Robertson,32.48,STD,7.750,Jim Nill
Andrei Svechnikov,43.72,STD,7.750,Don Waddell
Matthew Knies,10.83,STD,7.750,Brad Treliving
Sean Couturier,66.98,STD,7.750,Chuck Fletcher
Elias Lindholm,56.23,STD,7.750,Don Sweeney
JJ Peterka,10.54,STD,7.700,Bill Armstrong
Juraj Slafkovsky,12.80,STD,7.600,Kent Hughes
Jared Spurgeon,77.29,STD,7.575,Bill Guerin
Brock Nelson,59.90,STD,7.500,Chris MacFarland
Morgan Rielly,68.64,STD,7.500,Kyle Dubas
Gabriel Vilardi,16.14,STD,7.500,Kevin Cheveldayoff
K'Andre Miller,17.85,STD,7.500,Chris Drury
Alexis Lafrenière,17.37,STD,7.450,Chris Drury
Shea Theodore,48.44,STD,7.425,Kelly McCrimmon
Seth Jarvis,24.53,STD,7.420,Eric Tulsky
Noah Hanifin,51.43,STD,7.350,Kelly McCrimmon
Vince Dunn,36.21,STD,7.350,Ron Francis
Devon Toews,35.11,STD,7.250,Chris MacFarland
Brock Boeser,48.56,STD,7.250,Patrik Allvin
Filip Hronek,33.50,STD,7.250,Patrik Allvin
Nico Hischier,44.98,STD,7.250,Ray Shero
Clayton Keller,42.64,STD,7.150,John Chayka
Kevin Hayes,62.15,STD,7.143,Chuck Fletcher
Brandon Montour,38.86,STD,7.143,Ron Francis
Kyle Connor,52.74,STD,7.143,Kevin Cheveldayoff
Tage Thompson,28.09,STD,7.143,Kevyn Adams
Dylan Guenther,10.76,STD,7.143,Bill Armstrong
Matty Beniers,16.15,STD,7.143,Ron Francis
Dylan Cozens,23.93,STD,7.100,Kevyn Adams
Matt Boldy,26.68,STD,7.000,Bill Guerin
Mason McTavish,9.83,STD,7.000,Pat Verbeek
Anže Kopitar,144.03,STD,7.000,Rob Blake
Nazem Kadri,67.47,STD,7.000,Brad Treliving
Anders Lee,66.63,STD,7.000,Lou Lamoriello
Mikael Granlund,56.66,STD,7.000,Pat Verbeek
Gabriel Landeskog,80.74,STD,7.000,Joe Sakic
Brady Skjei,52.73,STD,7.000,Barry Trotz
Carter Verhaeghe,23.90,STD,7.000,Bill Zito
Troy Terry,27.29,STD,7.000,Pat Verbeek
Vladislav Gavrikov,30.03,STD,7.000,Chris Drury
Neal Pionk,39.31,STD,7.000,Kevin Cheveldayoff
Ryan McDonagh,78.08,STD,6.750,Steve Yzerman
Brayden Schenn,71.78,STD,6.500,Doug Armstrong
Chris Kreider,66.32,STD,6.500,Jeff Gorton
Dmitry Orlov,62.10,STD,6.500,Mike Grier
Cam Fowler,74.67,STD,6.500,Bob Murray
Justin Faulk,72.50,STD,6.500,Doug Armstrong
Brendan Gallagher,59.52,STD,6.500,Marc Bergevin
Torey Krug,68.02,STD,6.500,Doug Armstrong
Hampus Lindholm,65.39,STD,6.500,Don Sweeney
Tom Wilson,54.14,STD,6.500,Brian MacLellan
Colton Parayko,60.43,STD,6.500,Doug Armstrong
Brandon Hagel,23.43,STD,6.500,Julien BriseBois
Martin Nečas,21.62,STD,6.500,Eric Tulsky
Matthew Coronato,8.33,STD,6.500,Craig Conroy
Jaccob Slavin,47.29,STD,6.396,Eric Tulsky
Ryan Ellis,60.49,STD,6.250,David Poile
Mattias Ekholm,52.24,STD,6.250,David Poile
Alex Killorn,56.72,STD,6.250,Pat Verbeek
Damon Severson,50.28,STD,6.250,Tom Fitzgerald
Chandler Stephenson,27.99,STD,6.250,Ron Francis
MacKenzie Weegar,33.68,STD,6.250,Brad Treliving
Josh Morrissey,49.27,STD,6.250,Kevin Cheveldayoff
Travis Sanheim,42.80,STD,6.250,Chuck Fletcher
Anthony Cirelli,40.93,STD,6.250,Julien BriseBois
Alexander Romanov,15.45,STD,6.250,Mathieu Darche
Bowen Byram,16.53,STD,6.250,Kevyn Adams
Quinton Byfield,15.35,STD,6.250,Rob Blake
Owen Tippett,18.04,STD,6.200,Daniel Briere
Ryan Pulock,41.16,STD,6.150,Lou Lamoriello
Valeri Nichushkin,40.51,STD,6.125,Chris MacFarland
Evgeni Malkin,146.83,STD,6.100,Ron Hextall
Kris Letang,100.85,STD,6.100,Ron Hextall
Aaron Ekblad,70.63,STD,6.100,Bill Zito
Tyler Toffoli,52.91,STD,6.000,Mike Grier
Jonas Brodin,60.24,STD,6.000,Bill Guerin
Ondrej Palat,63.25,STD,6.000,Tom Fitzgerald
Sean Durzi,16.74,STD,6.000,Bill Armstrong
William Karlsson,51.31,STD,5.900,George McPhee
Nick Schmaltz,43.68,STD,5.850,John Chayka
Adam Pelech,37.68,STD,5.750,Lou Lamoriello
Gustav Forsling,24.09,STD,5.750,Bill Zito
Matt Roy,25.53,STD,5.750,Brian MacLellan
Casey Mittelstadt,22.11,STD,5.750,Chris MacFarland
Dylan Samberg,8.28,STD,5.750,Kevin Cheveldayoff
Yegor Sharangovich,16.67,STD,5.750,Craig Conroy
Trevor Zegras,19.41,STD,5.750,Pat Verbeek
Vincent Trocheck,55.33,STD,5.625,Chris Drury
Andrew Copp,36.70,STD,5.625,Steve Yzerman
Kaiden Guhle,9.55,STD,5.550,Kent Hughes
Nicolas Hague,14.20,STD,5.500,Barry Trotz
Morgan Geekie,11.69,STD,5.500,Don Sweeney
Jaden Schwartz,61.42,STD,5.500,Ron Francis
Zach Hyman,40.19,STD,5.500,Ken Holland
Phillip Danault,42.39,STD,5.500,Rob Blake
Jonathan Marchessault,48.69,STD,5.500,Barry Trotz
Josh Anderson,42.56,STD,5.500,Marc Bergevin
Sean Monahan,61.76,STD,5.500,Don Waddell
André Burakovsky,45.46,STD,5.500,Ron Francis
Tyler Bertuzzi,36.25,STD,5.500,Kyle Davidson
Brett Pesce,39.55,STD,5.500,Tom Fitzgerald
Adrian Kempe,30.72,STD,5.500,Rob Blake
Marcus Pettersson,29.30,STD,5.500,Patrik Allvin
Jake DeBrusk,30.47,STD,5.500,Patrik Allvin
Teuvo Teräväinen,47.07,STD,5.400,Kyle Davidson
Oliver Bjorkstrand,36.44,STD,5.400,Jarmo Kekalainen
Christian Dvorak,34.60,STD,5.400,Daniel Briere
Kevin Bahl,8.42,STD,5.350,Craig Conroy
Brad Marchand,81.23,STD,5.250,Bill Zito
Charlie Coyle,50.18,STD,5.250,Don Sweeney
Adam Larsson,50.64,STD,5.250,Ron Francis
Esa Lindell,47.90,STD,5.250,Jim Nill
Joel Eriksson Ek,33.98,STD,5.250,Bill Guerin
Erik Černák,31.08,STD,5.200,Julien BriseBois
Cameron York,9.27,STD,5.150,Daniel Briere
Evander Kane,105.05,STD,5.125,Ken Holland
Bryan Rust,39.99,STD,5.125,Ron Hextall
Ryan Nugent-Hopkins,73.49,STD,5.125,Ken Holland
Rasmus Ristolainen,56.65,STD,5.100,Chuck Fletcher
J.T. Compher,32.85,STD,5.100,Steve Yzerman
Ryan Strome,42.76,STD,5.000,Pat Verbeek
Rickard Rakell,48.35,STD,5.000,Ron Hextall
Jean-Gabriel Pageau,42.92,STD,5.000,Lou Lamoriello
Ivan Barbashev,26.16,STD,5.000,Kelly McCrimmon
Alexander Wennberg,57.90,STD,5.000,Mike Grier
Nikita Zadorov,35.76,STD,5.000,Don Sweeney
Jared McCann,31.79,STD,5.000,Ron Francis
Dylan Strome,29.13,STD,5.000,Brian MacLellan
Samuel Girard,32.17,STD,5.000,Joe Sakic
Joel Farabee,20.62,STD,5.000,Chuck Fletcher
Ryan McLeod,10.82,STD,5.000,Kevyn Adams
Marco Rossi,5.97,STD,5.000,Bill Guerin
Anton Lundell,14.54,STD,5.000,Bill Zito
Drake Batherson,24.43,STD,4.975,Pierre Dorion
Conor Garland,28.11,STD,4.950,Jim Benning
Blake Coleman,31.89,STD,4.900,Brad Treliving
Dylan DeMelo,27.47,STD,4.900,Kevin Cheveldayoff
Mike Matheson,41.74,STD,4.875,Dale Tallon
Jesperi Kotkaniemi,26.64,STD,4.820,Don Waddell
Ilya Mikheyev,23.19,STD,4.750,Patrik Allvin
Jordan Eberle,75.60,STD,4.750,Ron Francis
Ben Chiarot,36.43,STD,4.750,Steve Yzerman
Kyle Palmieri,55.08,STD,4.750,Mathieu Darche
Vladimir Tarasenko,77.18,STD,4.750,Steve Yzerman
Jason Zucker,50.64,STD,4.750,Kevyn Adams
Alex Tuch,36.01,STD,4.750,George McPhee
Pavel Zacha,28.17,STD,4.750,Don Sweeney
Jamie Oleksiak,34.83,STD,4.600,Ron Francis
Rasmus Sandin,14.26,STD,4.600,Brian MacLellan
Alex Vlasic,12.99,STD,4.600,Kyle Davidson
Artyom Zub,19.32,STD,4.600,Pierre Dorion
Philip Broberg,10.27,STD,4.581,Doug Armstrong
Frank Vatrano,27.82,STD,4.571,Pat Verbeek
Rasmus Andersson,29.52,STD,4.550,Brad Treliving
Kaapo Kakko,13.62,STD,4.525,Jason Botterill
Jake McCabe,35.24,STD,4.513,Brad Treliving
Nick Foligno,67.26,STD,4.500,Kyle Davidson
Mikael Backlund,58.06,STD,4.500,Craig Conroy
Matt Duchene,107.64,STD,4.500,Jim Nill
Ryan O'Reilly,91.12,STD,4.500,Barry Trotz
Chris Tanev,58.02,STD,4.500,Brad Treliving
Josh Manson,37.88,STD,4.500,Chris MacFarland
Cody Ceci,35.81,STD,4.500,Ken Holland
Ryan Graves,28.46,STD,4.500,Kyle Dubas
Artturi Lehkonen,28.01,STD,4.500,Chris MacFarland
Michael Bunting,19.07,STD,4.500,Don Waddell
Mason Marchment,19.29,STD,4.500,Jim Nill
Ryan Lindgren,20.73,STD,4.500,Jason Botterill
Filip Chytil,21.13,STD,4.438,Chris Drury
Connor Murphy,43.27,STD,4.400,Stan Bowman
John Marino,23.77,STD,4.400,Jim Rutherford
John Tavares,118.17,STD,4.389,Brad Treliving
Morgan Frost,10.99,STD,4.375,Craig Conroy
Jacob Middleton,13.95,STD,4.350,Bill Guerin
Lawson Crouse,24.92,STD,4.300,Bill Armstrong
Andrei Kuzmenko,16.23,STD,4.300,Ken Holland
Mattias Samuelsson,14.38,STD,4.286,Kevyn Adams
Fabian Zetterlund,7.57,STD,4.275,Steve Staios
Jack McBain,8.99,STD,4.250,Bill Armstrong
Jason Dickinson,22.99,STD,4.250,Kyle Davidson
Trevor Moore,20.93,STD,4.200,Rob Blake
Dmitri Voronkov,5.76,STD,4.175,Don Waddell
Pius Suter,14.85,STD,4.125,Doug Armstrong
Michael Anderson,14.83,STD,4.125,Rob Blake
Mats Zuccarello,63.38,STD,4.125,Bill Guerin
Dante Fabbro,16.80,STD,4.125,Don Waddell
Brandon Carlo,29.35,STD,4.100,Don Sweeney
William Borgen,12.84,STD,4.100,Chris Drury
Alex Laferriere,5.23,STD,4.100,Ken Holland
Nick Jensen,25.46,STD,4.050,Brian MacLellan
David Perron,63.15,STD,4.000,Steve Staios
Nick Leddy,62.58,STD,4.000,Doug Armstrong
Brian Dumoulin,38.97,STD,4.000,Ken Holland
Marcus Foligno,38.76,STD,4.000,Bill Guerin
Erik Gudbranson,44.63,STD,4.000,Jarmo Kekalainen
Nino Niederreiter,53.34,STD,4.000,Kevin Cheveldayoff
Radko Gudas,37.65,STD,4.000,Pat Verbeek
John Klingberg,48.37,STD,4.000,Mike Grier
Brenden Dillon,44.41,STD,4.000,Tom Fitzgerald
Jonathan Drouin,42.99,STD,4.000,Mathieu Darche
Ryan Hartman,21.34,STD,4.000,Bill Guerin
Ryan Donato,16.50,STD,4.000,Kyle Davidson
Viktor Arvidsson,39.62,STD,4.000,Jeff Jackson
Jordan Greenway,19.90,STD,4.000,Kevyn Adams
Ross Colton,14.64,STD,4.000,Chris MacFarland
Johnathan Kovacevic,7.58,STD,4.000,Tom Fitzgerald
Noah Cates,11.30,STD,4.000,Daniel Briere
Thomas Harley,9.34,STD,4.000,Jim Nill
Dawson Mercer,10.41,STD,4.000,Tom Fitzgerald
William Cuylle,4.79,STD,3.900,Chris Drury
Kirill Marchenko,9.13,STD,3.850,Don Waddell
Joel Edmundson,33.40,STD,3.850,Rob Blake
Trent Frederic,11.49,STD,3.850,Stan Bowman
Connor Zary,5.38,STD,3.775,Craig Conroy
Shane Pinto,10.31,STD,3.750,Steve Staios
Tyson Foerster,5.28,STD,3.750,Daniel Briere
Jake Neighbours,5.82,STD,3.750,Doug Armstrong
Boone Jenner,38.12,STD,3.750,Jarmo Kekalainen
Max Domi,34.47,STD,3.750,Brad Treliving
Alexandre Carrier,13.53,STD,3.750,Barry Trotz
Alex Iafallo,26.68,STD,3.667,Kevin Cheveldayoff
Brayden McNabb,30.02,STD,3.650,Kelly McCrimmon
Barclay Goodrow,24.36,STD,3.642,Chris Drury
Simon Holmström,5.80,STD,3.625,Mathieu Darche
Sean Walker,20.79,STD,3.600,Eric Tulsky
Andrew Mangiapane,28.39,STD,3.600,Stan Bowman
Oliver Ekman-Larsson,106.65,STD,3.500,Brad Treliving
Scott Mayfield,21.76,STD,3.500,Lou Lamoriello
Olli Määttä,38.91,STD,3.500,Bill Armstrong
Anthony Duclair,23.50,STD,3.500,Lou Lamoriello
Nate Schmidt,49.03,STD,3.500,Bill Armstrong
Warren Foegele,20.11,STD,3.500,Rob Blake
Yakov Trenin,14.01,STD,3.500,Bill Guerin
Thomas Novak,8.53,STD,3.500,Barry Trotz
Eeli Tolvanen,11.96,STD,3.475,Ron Francis
Matias Maccelli,11.34,STD,3.425,Bill Armstrong
Tanner Jeannot,11.31,STD,3.400,Don Sweeney
Justin Holl,18.92,STD,3.400,Steve Yzerman
Jake Walman,13.30,STD,3.400,Steve Yzerman
Jonas Siegenthaler,16.29,STD,3.400,Tom Fitzgerald
Aliaksei Protas,9.57,STD,3.375,Brian MacLellan
Jack Quinn,6.01,STD,3.375,Kevyn Adams
J.J. Moser,9.11,STD,3.375,Julien BriseBois
Kirby Dach,16.15,STD,3.363,Kent Hughes
Connor Clifton,13.89,STD,3.333,Kevyn Adams
Mario Ferraro,15.76,STD,3.250,Mike Grier
Ilya Lyubushkin,16.98,STD,3.250,Jim Nill
Cole Perfetti,8.80,STD,3.250,Kevin Cheveldayoff
Ridly Greig,4.68,STD,3.250,Steve Staios
Gustav Nyquist,54.03,STD,3.250,Kevin Cheveldayoff
Adam Lowry,29.72,STD,3.250,Kevin Cheveldayoff
Carson Soucy,19.66,STD,3.250,Patrik Allvin
Dakota Joshua,9.81,STD,3.250,Patrik Allvin
Shayne Gostisbehere,41.08,STD,3.200,Eric Tulsky
Michael Rasmussen,11.41,STD,3.200,Steve Yzerman
Mason Lohrei,4.65,STD,3.200,Don Sweeney
Taylor Hall,80.18,STD,3.167,Eric Tulsky
Erik Haula,27.99,STD,3.150,Tom Fitzgerald
Nick Paul,20.21,STD,3.150,Julien BriseBois
Jordan Martinook,23.03,STD,3.050,Eric Tulsky
Patrick Kane,127.86,STD,3.000,Steve Yzerman
Adam Henrique,60.83,STD,3.000,Jeff Jackson
Tyler Myers,77.81,STD,3.000,Patrik Allvin
Nic Dowd,12.41,STD,3.000,Chris Patrick
Vladislav Namestnikov,29.01,STD,3.000,Kevin Cheveldayoff
Scott Laughton,24.10,STD,3.000,Chuck Fletcher
Alexander Kerfoot,25.83,STD,3.000,Bill Armstrong
Connor Brown,24.42,STD,3.000,Tom Fitzgerald
Trevor van Riemsdyk,19.79,STD,3.000,Brian MacLellan
Evan Rodrigues,17.67,STD,3.000,Bill Zito
Nicolas Roy,15.15,STD,3.000,Kelly McCrimmon
Jalen Chatfield,10.03,STD,3.000,Eric Tulsky
Timothy Liljegren,9.92,STD,3.000,Brad Treliving
Henri Jokiharju,15.89,STD,3.000,Don Sweeney
Eetu Luostarinen,11.34,STD,3.000,Bill Zito
Pierre Engvall,14.43,STD,3.000,Lou Lamoriello
Mathieu Olivier,8.30,STD,3.000,Don Waddell
Nils Hoglander,8.10,STD,3.000,Patrik Allvin
Luke Evangelista,4.02,STD,3.000,Barry Trotz
Alex Newhook,11.22,STD,2.900,Kent Hughes
Jordan Staal,88.05,STD,2.900,Don Waddell
Mason Appleton,13.08,STD,2.900,Steve Yzerman
Colton Sissons,23.77,STD,2.857,David Poile
Jake Evans,10.16,STD,2.850,Kent Hughes
Ian Cole,38.11,STD,2.800,Bill Armstrong
Luke Schenn,35.36,STD,2.750,Barry Trotz
Stefan Noesen,14.03,STD,2.750,Tom Fitzgerald
Brett Kulak,20.06,STD,2.750,Ken Holland
Anthony Beauvillier,23.75,STD,2.750,Chris Patrick
Andrew Peeke,10.67,STD,2.750,Jarmo Kekalainen
Nicklaus Perbix,5.80,STD,2.750,Barry Trotz
Zach Whitecloud,14.15,STD,2.750,Kelly McCrimmon
Nick Seeler,11.23,STD,2.700,Daniel Briere
Martin Fehérváry,9.63,STD,2.675,Brian MacLellan
Barrett Hayton,10.77,STD,2.650,Bill Armstrong
