Player,Career Earnings (millions),Contract Type,Salary Cap Hit (millions),Signing GM
Michael Amadio,10.79,STD,2.600,Steve Staios
Casey Cizikas,33.62,STD,2.500,Lou Lamoriello
Joel Armia,27.67,STD,2.500,Ken Holland
Anthony Mantha,37.98,STD,2.500,Kyle Dubas
Miles Wood,25.96,STD,2.500,Chris MacFarland
Keegan Kolesar,9.20,STD,2.500,Kelly McCrimmon
Niko Mikkola,11.10,STD,2.500,Bill Zito
Brandon Tanev,27.38,STD,2.500,Bill Armstrong
Brett Howden,11.76,STD,2.500,Kelly McCrimmon
Cody Glass,9.60,STD,2.500,Tom Fitzgerald
Logan O'Connor,7.62,STD,2.500,Chris MacFarland
Drew O'Connor,6.23,STD,2.500,Patrik Allvin
Garnet Hathaway,16.32,STD,2.400,Daniel Briere
Yanni Gourde,37.74,STD,2.333,Julien BriseBois
Jamie Drysdale,9.15,STD,2.300,Pat Verbeek
Dylan Holloway,5.86,STD,2.290,Doug Armstrong
Cole Sillinger,7.15,STD,2.250,Don Waddell
Maxim Tsyplakov,3.19,STD,2.250,Mathieu Darche
Danton Heinen,15.53,STD,2.250,Patrik Allvin
Conor Timmins,6.69,STD,2.200,Kevyn Adams
Braden Schneider,6.73,STD,2.200,Chris Drury
Connor McMichael,6.10,STD,2.100,Brian MacLellan
Egor Chinakhov,6.65,STD,2.100,Don Waddell
Calle Jarnkrok,23.27,STD,2.100,Kyle Dubas
Frédérick Gaudreau,12.85,STD,2.100,Bill Guerin
Sam Steel,7.93,STD,2.100,Jim Nill
Ryker Evans,3.54,STD,2.050,Jason Botterill
Nico Sturm,9.53,STD,2.000,Bill Guerin
Corey Perry,109.63,STD,2.000,Ken Holland
Claude Giroux,101.40,STD,2.000,Steve Staios
Jonathan Toews,120.04,STD,2.000,Kevin Cheveldayoff
Reilly Smith,52.94,STD,2.000,Kelly McCrimmon
Derek Forbort,22.43,STD,2.000,Patrik Allvin
Brandon Saad,64.26,STD,2.000,Kelly McCrimmon
Radek Faksa,27.68,STD,2.000,Jim Nill
William Carrier,14.10,STD,2.000,Eric Tulsky
Sam Lafferty,8.45,STD,2.000,Kevyn Adams
Jeremy Lauzon,10.89,STD,2.000,David Poile
Kevin Stenlund,8.62,STD,2.000,Bill Armstrong
Adam Gaudette,7.97,STD,2.000,Mike Grier
Noel Acciari,15.28,STD,2.000,Kyle Dubas
Ryan Lomberg,7.83,STD,2.000,Craig Conroy
Vincent Desharnais,5.11,STD,2.000,Patrik Allvin
Ryan Poehling,6.94,STD,1.900,Daniel Briere
Morgan Barron,5.78,STD,1.850,Kevin Cheveldayoff
Blake Lizotte,9.69,STD,1.850,Kyle Dubas
Sean Kuraly,17.43,STD,1.850,Don Sweeney
Brandon Duhaime,6.29,STD,1.850,Brian MacLellan
Pavel Dorofeyev,4.87,STD,1.835,Kelly McCrimmon
Jonatan Berggren,3.53,STD,1.825,Steve Yzerman
Nicholas Robertson,4.52,STD,1.825,Brad Treliving
Justin Danforth,5.59,STD,1.800,Kevyn Adams
Kent Johnson,5.21,STD,1.800,Don Waddell
Teddy Blueger,13.03,STD,1.800,Patrik Allvin
Carl Grundström,9.00,STD,1.800,Mike Grier
Nicolas Deslauriers,15.54,STD,1.750,Chuck Fletcher
Nick Bjugstad,35.04,STD,1.750,Doug Armstrong
Tony DeAngelo,28.34,STD,1.750,Mathieu Darche
Joel Hanley,7.86,STD,1.750,Craig Conroy
Jake Bean,11.11,STD,1.750,Craig Conroy
Jack Drury,4.77,STD,1.725,Eric Tulsky
Alexei Toropchenko,5.18,STD,1.700,Doug Armstrong
Wyatt Kaiser,2.92,STD,1.700,Kyle Davidson
Eric Robinson,9.73,STD,1.700,Eric Tulsky
Declan Chisholm,3.40,STD,1.600,Chris Patrick
Tyler Kleven,2.66,STD,1.600,Steve Staios
Victor Olofsson,19.05,STD,1.575,Chris MacFarland
Mark Kastelic,3.78,STD,1.567,Don Sweeney
Urho Vaakanainen,5.37,STD,1.550,Chris Drury
Pontus Holmberg,3.57,STD,1.550,Julien BriseBois
Jesper Boqvist,5.66,STD,1.500,Bill Zito
Kiefer Sherwood,5.45,STD,1.500,Patrik Allvin
Justin Brazeau,2.51,STD,1.500,Kyle Dubas
Bobby Brink,3.83,STD,1.500,Daniel Briere
Jordan Spence,4.18,STD,1.500,Rob Blake
Colin Miller,26.00,STD,1.500,Kevin Cheveldayoff
Oskar Sundqvist,18.24,STD,1.500,Doug Armstrong
Jack Roslovic,18.81,STD,1.500,Stan Bowman
Taylor Raddysh,4.78,STD,1.500,Chris Drury
Owen Michaels,0.11,ELC,1.484,Stan Bowman
Peyton Krebs,5.23,STD,1.450,Kevyn Adams
Mattias Janmark,16.46,STD,1.450,Jeff Jackson
Michael Eyssimont,3.69,STD,1.450,Don Sweeney
Jayden Struble,3.13,STD,1.413,Kent Hughes
Michael Kesselring,3.63,STD,1.400,Bill Armstrong
Sam Malinski,2.49,STD,1.400,Chris MacFarland
Simon Benoit,5.11,STD,1.350,Brad Treliving
Bobby McMann,3.49,STD,1.350,Brad Treliving
Ryan Reaves,23.17,STD,1.350,Brad Treliving
Steven Lorentz,6.17,STD,1.350,Brad Treliving
Beck Malenstyn,3.91,STD,1.350,Kevyn Adams
Kasperi Kapanen,20.91,STD,1.300,Stan Bowman
Ty Dellandrea,4.82,STD,1.300,Mike Grier
Isac Lundestrom,8.49,STD,1.300,Don Waddell
Ty Emberson,3.02,STD,1.300,Stan Bowman
Arber Xhekaj,4.03,STD,1.300,Kent Hughes
Nils Lundkvist,4.79,STD,1.250,Jim Nill
Joel Kiviranta,5.72,STD,1.250,Chris MacFarland
Tye Kartye,2.96,STD,1.250,Jason Botterill
Adam Klapka,1.73,STD,1.250,Craig Conroy
Zach Bogosian,50.97,STD,1.250,Bill Guerin
Lars Eller,42.48,STD,1.250,Steve Staios
Logan Stanley,5.92,STD,1.250,Kevin Cheveldayoff
Philipp Kurashev,8.08,STD,1.200,Mike Grier
Lukas Reichel,3.55,STD,1.200,Kyle Davidson
Gage Goncalves,1.64,STD,1.200,Julien BriseBois
Brayden Pachal,2.88,STD,1.188,Craig Conroy
Justin Barron,3.58,STD,1.150,Kent Hughes
Dmitry Kulikov,43.01,STD,1.150,Bill Zito
Kurtis MacDermid,9.37,STD,1.150,Tom Fitzgerald
Albert Johansson,1.87,STD,1.125,Steve Yzerman
Elmer Söderblom,1.84,STD,1.125,Steve Yzerman
Connor Dewar,4.28,STD,1.100,Kyle Dubas
Drew Helleson,1.89,STD,1.100,Pat Verbeek
Emil Heineman,2.09,STD,1.100,Mathieu Darche
Mike Reilly,18.64,STD,1.100,Eric Tulsky
Ross Johnston,10.39,STD,1.100,Lou Lamoriello
David Kampf,15.13,STD,1.100,Patrik Allvin
Brent Burns,109.64,STD,1.000,Chris MacFarland
Jamie Benn,105.13,STD,1.000,Jim Nill
James van Riemsdyk,66.02,STD,1.000,Steve Yzerman
Evgenii Dadonov,34.46,STD,1.000,Tom Fitzgerald
Sam Carrick,9.61,STD,1.000,Chris Drury
Travis Hamonic,40.07,STD,1.000,Steve Yzerman
Tanner Pearson,31.53,STD,1.000,Kevin Cheveldayoff
Matt Grzelcyk,23.01,STD,1.000,Kyle Davidson
Liam O'Brien,7.68,STD,1.000,Bill Armstrong
Parker Wotherspoon,3.50,STD,1.000,Kyle Dubas
Max Jones,7.67,STD,1.000,Don Sweeney
Alexandre Texier,9.98,STD,1.000,Kent Hughes
Martin Pospisil,2.67,STD,1.000,Craig Conroy
Cole Koepke,2.12,STD,1.000,Kevin Cheveldayoff
Egor Zamula,5.47,STD,1.000,Don Waddell
Vasily Podkolzin,3.73,STD,1.000,Patrik Allvin
Cole Smith,3.59,STD,1.000,Barry Trotz
Shakir Mukhamadullin,1.53,STD,1.000,Mike Grier
Jake Christiansen,2.26,STD,0.975,Don Waddell
Adam Edstrom,1.95,STD,0.975,Chris Drury
Matt Rempe,1.85,STD,0.975,Chris Drury
Macklin Celebrini,1.95,ELC,0.975,Mike Grier
Artyom Levshunov,1.18,ELC,0.975,Kyle Davidson
James Hagens,0.04,ELC,0.975,Don Sweeney
Anton Frondell,0.13,ELC,0.975,Kyle Davidson
Matthew Schaefer,0.98,ELC,0.975,Mathieu Darche
Michael Misa,0.87,ELC,0.975,Mike Grier
Jake Livanavage,0.03,ELC,0.975,Kyle Dubas
Josh Samanski,0.27,ELC,0.975,Stan Bowman
Benjamin Kindel,0.98,ELC,0.975,Kyle Dubas
Maxim Shabanov,0.98,ELC,0.975,Mathieu Darche
Tyson Gross,0.18,ELC,0.975,Craig Conroy
Viking Gustafsson Nyberg,0.04,ELC,0.975,Bill Guerin
Ben Hutton,14.24,STD,0.975,Kelly McCrimmon
Darren Raddysh,2.92,STD,0.975,Julien BriseBois
Zeev Buium,0.99,ELC,0.967,Bill Guerin
Sacha Boisvert,0.15,ELC,0.967,Kyle Davidson
Porter Martone,0.09,ELC,0.967,Daniel Briere
Mavrik Bourque,1.82,STD,0.950,Jim Nill
Logan Cooley,2.85,ELC,0.950,Bill Armstrong
Cutter Gauthier,1.92,ELC,0.950,Pat Verbeek
Frank Nazar,1.61,ELC,0.950,Kyle Davidson
Jimmy Snuggerud,1.04,ELC,0.950,Doug Armstrong
Danila Yurov,0.95,ELC,0.950,Bill Guerin
Ryan Greene,0.97,ELC,0.950,Kyle Davidson
Lane Hutson,1.93,ELC,0.950,Kent Hughes
Stephen Halliday,0.58,ELC,0.950,Steve Staios
Alex Bump,0.20,ELC,0.950,Daniel Briere
Abram Wiebe,0.04,ELC,0.950,Craig Conroy
Zach Benson,2.85,ELC,0.950,Kevyn Adams
Connor Bedard,2.85,ELC,0.950,Kyle Davidson
Hunter Brzustewicz,0.50,ELC,0.950,Craig Conroy
Leo Carlsson,2.81,ELC,0.950,Pat Verbeek
Adam Fantilli,2.85,ELC,0.950,Jarmo Kekalainen
Will Smith,1.90,ELC,0.950,Mike Grier
Dmitri Simashev,0.39,ELC,0.950,Bill Armstrong
Matvei Michkov,1.90,ELC,0.950,Daniel Briere
Ryan Leonard,1.03,ELC,0.950,Chris Patrick
Tom Willander,0.87,ELC,0.950,Patrik Allvin
Danil But,0.41,ELC,0.950,Bill Armstrong
Matthew Wood,0.92,ELC,0.950,Barry Trotz
Aiden Fink,0.02,ELC,0.950,Barry Trotz
Haydn Fleury,9.01,STD,0.950,Kevin Cheveldayoff
Beckett Sennecke,0.94,ELC,0.943,Pat Verbeek
Zayne Parekh,0.87,ELC,0.943,Craig Conroy
Carter Yakemchuk,0.09,ELC,0.943,Steve Staios
Sam Dickinson,0.94,ELC,0.943,Mike Grier
Berkly Catton,0.94,ELC,0.943,Ron Francis
Matvei Gridin,0.42,ELC,0.943,Craig Conroy
Sam Rinzel,0.75,ELC,0.942,Kyle Davidson
Oliver Moore,0.90,ELC,0.942,Kyle Davidson
Gabe Perreault,0.71,ELC,0.942,Chris Drury
Collin Graf,1.40,ELC,0.942,Mike Grier
Ivan Demidov,0.98,ELC,0.941,Kent Hughes
Cole Hutson,0.15,ELC,0.941,Chris Patrick
Igor Chernyshov,0.37,ELC,0.934,Mike Grier
Tyler Tucker,2.84,STD,0.925,Doug Armstrong
Jackson LaCombe,2.78,STD,0.925,Pat Verbeek
Arseny Gritsyuk,0.93,ELC,0.925,Tom Fitzgerald
Marat Khusnutdinov,2.04,STD,0.925,Don Sweeney
Ian Moore,0.87,ELC,0.925,Pat Verbeek
Alexander Nikishin,0.93,ELC,0.925,Eric Tulsky
Fedor Svechkov,1.42,ELC,0.925,David Poile
Josh Doan,1.58,ELC,0.925,Bill Armstrong
Oliver Kapanen,1.14,ELC,0.925,Kent Hughes
Ryan Ufko,0.22,ELC,0.925,Barry Trotz
Aydar Suniev,0.14,ELC,0.923,Craig Conroy
Drew Fortescue,0.12,ELC,0.923,Chris Drury
Pavel Mintyukov,2.75,ELC,0.918,Pat Verbeek
Kevin Korchinski,1.29,ELC,0.918,Kyle Davidson
Simon Nemec,2.04,ELC,0.918,Tom Fitzgerald
Lian Bichsel,1.34,ELC,0.918,Jim Nill
Brayden Yager,0.02,ELC,0.918,Kyle Dubas
Dominic James,0.83,ELC,0.910,Julien BriseBois
Josh Mahura,4.65,STD,0.908,Jason Botterill
Jackson Blake,1.74,ELC,0.906,Don Waddell
Emil Andrae,1.41,ELC,0.903,Daniel Briere
Jacob Bryson,6.88,STD,0.900,Kevyn Adams
Joseph Veleno,7.92,STD,0.900,Kent Hughes
John Beecher,2.47,STD,0.900,Don Sweeney
Landon Slaggert,1.47,STD,0.900,Kyle Davidson
Louis Crevier,1.78,STD,0.900,Kyle Davidson
Marc Gatcomb,1.27,STD,0.900,Mathieu Darche
Michael McCarron,6.33,STD,0.900,Barry Trotz
Noah Juulsen,4.98,STD,0.900,Daniel Briere
Caleb Jones,6.30,STD,0.900,Kyle Dubas
Mathieu Joseph,15.96,STD,0.900,Ken Holland
Ryan Shea,2.45,STD,0.900,Kyle Dubas
Adam Engstrom,0.26,ELC,0.897,Kent Hughes
Luca Cagnoni,0.10,ELC,0.895,Mike Grier
Simon Edvinsson,2.04,ELC,0.894,Steve Yzerman
Isak Rosen,0.62,ELC,0.894,Kevyn Adams
Jani Nyman,0.57,ELC,0.892,Ron Francis
Cale Fleury,3.87,STD,0.890,Jason Botterill
Conor Geekie,0.72,ELC,0.887,Bill Armstrong
Matthew Savoie,0.93,ELC,0.887,Kevyn Adams
Denton Mateychuk,1.41,ELC,0.887,Jarmo Kekalainen
Reid Schaefer,0.46,ELC,0.887,Ken Holland
Shane Wright,2.16,ELC,0.887,Ron Francis
Marco Kasper,1.69,ELC,0.887,Steve Yzerman
Noah Ostlund,0.85,ELC,0.887,Kevyn Adams
Joakim Kemell,0.29,ELC,0.887,David Poile
Liam Ohgren,1.11,ELC,0.887,Bill Guerin
Jiri Kulich,1.75,ELC,0.887,Kevyn Adams
Brad Lambert,0.45,ELC,0.887,Kevin Cheveldayoff
Samuel Honzek,1.00,ELC,0.887,Craig Conroy
David Reinbacher,0.02,ELC,0.887,Kent Hughes
Dalibor Dvorsky,0.88,ELC,0.887,Doug Armstrong
Nikita Chibrikov,0.26,ELC,0.876,Kevin Cheveldayoff
Jacob Bernard-Docker,3.23,STD,0.875,Steve Yzerman
Logan Mailloux,0.92,ELC,0.875,Kent Hughes
Nikita Grebenkin,1.03,ELC,0.875,Brad Treliving
Nikolas Matinpalo,1.34,STD,0.875,Steve Staios
Jacob Quillan,0.40,ELC,0.875,Brad Treliving
Luke Haymes,0.04,ELC,0.875,Brad Treliving
Dennis Gilbert,3.79,STD,0.875,Daniel Briere
Easton Cowan,0.84,ELC,0.874,Brad Treliving
Noah Laba,0.87,ELC,0.870,Chris Drury
Victor Mancini,0.95,ELC,0.870,Chris Drury
Ty Mueller,0.10,ELC,0.870,Patrik Allvin
Justin Hryckowian,0.91,ELC,0.870,Jim Nill
Arttu Hyry,0.28,ELC,0.870,Jim Nill
Jaroslav Chmelar,0.27,ELC,0.868,Chris Drury
Zakhar Bardakov,0.86,ELC,0.868,Chris MacFarland
Jared Wright,0.20,ELC,0.868,Rob Blake
Tristan Luneau,0.40,ELC,0.865,Pat Verbeek
Nick Lardis,0.38,ELC,0.865,Kyle Davidson
Brandt Clarke,2.27,ELC,0.863,Rob Blake
Zachary L'Heureux,1.22,ELC,0.863,David Poile
Zachary Bolduc,1.94,ELC,0.863,Doug Armstrong
William Eklund,2.78,ELC,0.863,Doug Wilson
Denver Barkey,0.53,ELC,0.863,Daniel Briere
Cole O'Hara,0.00,ELC,0.860,Barry Trotz
Ethan Del Mastro,0.65,ELC,0.856,Kyle Davidson
Ryan Tverberg,0.04,ELC,0.852,Kyle Dubas
Adam Boqvist,11.84,STD,0.850,Mathieu Darche
Hendrix Lapierre,1.92,STD,0.850,Chris Patrick
Alex Steeves,1.13,STD,0.850,Don Sweeney
Uvis Balinskis,2.09,STD,0.850,Bill Zito
Zemgus Girgensons,19.50,STD,0.850,Julien BriseBois
Dominic Toninato,3.87,STD,0.850,Kyle Davidson
A.J. Greer,4.99,STD,0.850,Bill Zito
Philippe Myers,12.13,STD,0.850,Brad Treliving
Olen Zellweger,1.94,ELC,0.844,Bob Murray
Elias Pettersson (D),1.14,ELC,0.838,Patrik Allvin
Tyson Hinds,0.08,ELC,0.829,Pat Verbeek
Ryan Winterton,1.02,ELC,0.828,Ron Francis
Jordan Harris,4.61,STD,0.825,Don Sweeney
Oskar Back,1.58,STD,0.825,Jim Nill
Spencer Stastney,1.44,STD,0.825,Barry Trotz
Parker Kelly,3.52,STD,0.825,Chris MacFarland
Kaedan Korczak,2.22,STD,0.825,Kelly McCrimmon
Cole Schwindt,1.71,STD,0.825,Kelly McCrimmon
Justin Sourdif,0.86,STD,0.825,Chris Patrick
Colton Dach,1.20,ELC,0.825,Stan Bowman
Zack Ostapchuk,1.29,ELC,0.825,Pierre Dorion
Kirill Kudryavtsev,0.08,ELC,0.825,Patrik Allvin
Nick Cousins,13.19,STD,0.825,Steve Staios
Emmitt Finnie,0.82,ELC,0.822,Steve Yzerman
Fraser Minten,1.15,ELC,0.817,Kyle Dubas
Elias Salomonsson,0.41,ELC,0.815,Kevin Cheveldayoff
Logan Stankoven,1.84,ELC,0.814,Jim Nill
Vincent Iorio,0.97,ELC,0.814,Brian MacLellan
Cameron Crotty,0.13,STD,0.813,Steve Staios
Yan Kuznetsov,0.74,STD,0.813,Craig Conroy
Cole Reinhardt,1.05,STD,0.813,Kelly McCrimmon
Tim Washe,0.45,STD,0.813,Pat Verbeek
Michael Pezzetta,3.82,STD,0.813,Brad Treliving
Adam Sykora,0.11,ELC,0.807,Chris Drury
Samuel Helenius,1.29,ELC,0.806,Rob Blake
Nick DeSimone,3.17,STD,0.800,Bill Armstrong
Ville Heinola,2.33,STD,0.800,Kevin Cheveldayoff
Mitchell Chaffee,1.94,STD,0.800,Julien BriseBois
Matthew Kessel,2.06,STD,0.800,Doug Armstrong
Emil Martinsen Lilleberg,2.11,STD,0.800,Julien BriseBois
Marcus Johansson,40.60,STD,0.800,Bill Guerin
Dylan McIlrath,7.29,STD,0.800,Chris Patrick
Brendan Smith,32.65,STD,0.800,Don Waddell
Mark Jankowski,9.30,STD,0.800,Barry Trotz
Rodrigo Abols,1.01,STD,0.800,Daniel Briere
Jonny Brodzinski,5.68,STD,0.788,Chris Drury
Jansen Harkins,5.90,STD,0.788,Pat Verbeek
Troy Stecher,13.82,STD,0.788,Jeff Jackson
Jeff Petry,67.05,STD,0.775,Bill Zito
Garrett Wilson,5.97,STD,0.775,Daniel Briere
Alexander Petrovic,9.13,STD,0.775,Jim Nill
Kevin Gravel,3.68,STD,0.775,Barry Trotz
Vinnie Hinostroza,10.90,STD,0.775,Barry Trotz
Adam Erne,10.80,STD,0.775,Jim Nill
Curtis Lazar,10.65,STD,0.775,Stan Bowman
Steven Santini,7.46,STD,0.775,Julien BriseBois
Luke Glendening,15.03,STD,0.775,Tom Fitzgerald
Scott Sabourin,4.68,STD,0.775,Julien BriseBois
Nathan Walker,6.14,STD,0.775,Doug Armstrong
Tomas Nosek,12.07,STD,0.775,Bill Zito
Robby Fabbri,22.92,STD,0.775,Doug Armstrong
Conor Sheary,20.84,STD,0.775,Chris Drury
Kyle Capobianco,5.09,STD,0.775,Jim Nill
Tyson Jost,10.97,STD,0.775,Eric Tulsky
Luke Kunin,16.02,STD,0.775,Bill Zito
Dennis Cholowski,4.15,STD,0.775,Tom Fitzgerald
Nathan Bastian,5.99,STD,0.775,Jim Nill
Noah Gregor,4.59,STD,0.775,Bill Zito
Jacob Moverare,4.21,STD,0.775,Rob Blake
Michael Carcone,3.85,STD,0.775,Bill Armstrong
Zack MacEwen,6.31,STD,0.775,Pierre Dorion
Kevin Rooney,7.98,STD,0.775,Bill Armstrong
Kailer Yamamoto,11.56,STD,0.775,Bill Armstrong
Pierre-Olivier Joseph,3.88,STD,0.775,Patrik Allvin
Jonah Gadjovich,3.99,STD,0.775,Bill Zito
Filip Hallander,0.81,STD,0.775,Kyle Dubas
Linus Karlsson,1.13,STD,0.775,Patrik Allvin
Curtis Douglas,0.78,STD,0.775,Bill Armstrong
Jack St. Ivany,0.88,STD,0.775,Kyle Dubas
Paul Cotter,3.15,STD,0.775,Kelly McCrimmon
Colin Blackwell,5.75,STD,0.775,Jim Nill
Kyle MacLean,1.84,STD,0.775,Lou Lamoriello
Jonathan Aspirot,0.70,STD,0.775,Don Sweeney
Jeffrey Viel,2.40,STD,0.775,Don Sweeney
Alex Barre-Boulet,2.68,STD,0.775,Chris MacFarland
Alex Turcotte,2.08,STD,0.775,Rob Blake
Lassi Thomson,0.34,STD,0.775,Steve Staios
Jakob Pelletier,1.19,STD,0.775,Julien BriseBois
Nolan Foote,0.69,STD,0.775,Bill Zito
Matthew Robertson,0.86,STD,0.775,Chris Drury
Maxwell Crozier,0.93,STD,0.775,Julien BriseBois
Charle-Edouard D'Astous,0.72,STD,0.775,Julien BriseBois
Ozzy Wiesblatt,0.81,STD,0.775,Barry Trotz
Jack Finley,0.78,STD,0.775,Julien BriseBois
Donovan Sebrango,0.85,STD,0.775,Steve Staios
Daemon Hunt,1.05,STD,0.775,Don Waddell
Adam Wilsby,1.38,STD,0.775,Barry Trotz
William Villeneuve,0.06,STD,0.775,Brad Treliving
Rory Kerins,0.09,STD,0.775,Craig Conroy
Ilya Solovyov,0.98,STD,0.775,Craig Conroy
Joshua Dunne,0.95,STD,0.775,Kevyn Adams
Matt Kiersted,1.62,STD,0.775,Bill Guerin
Jeff Malott,1.55,STD,0.775,Rob Blake
Mackie Samoskevich,1.78,STD,0.775,Bill Zito
Aatu Räty,1.25,STD,0.775,Patrik Allvin
Tyson Kozak,1.11,STD,0.775,Kevyn Adams
Declan Carlile,0.61,STD,0.775,Julien BriseBois
Taylor Ward,0.41,STD,0.775,Ken Holland
Hayden Hodgson,1.02,STD,0.775,Steve Staios
Nick Blankenburg,3.18,STD,0.775,Barry Trotz
Ben Meyers,2.69,STD,0.775,Jason Botterill
Pavol Regenda,0.71,STD,0.775,Mike Grier
Ethen Frank,1.17,STD,0.775,Brian MacLellan
Max Sasson,1.12,STD,0.775,Patrik Allvin
Jason Polin,0.09,STD,0.775,Chris MacFarland
Zach Metsa,0.58,STD,0.775,Kevyn Adams
