Rk,Player,Tm,Pos,Shift,GP,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,-9999
158,Chandler Stephenson,SEA,C,0:44,80,14:52,-7.0,2.3,3.3,2:40,3.5,8.1,1.7,1:49,1.4,0.8,11.9,stephch02
159,Charle-Edouard D'Astous,TBL,D,0:34,70,17:21,-1.1,3.1,3.2,0:57,-3.8,1.8,0.9,0:26,1.7,0.0,7.9,dastoch01
160,Charles-Alexis Legault,CAR,D,0:40,12,13:17,1.4,2.6,0.8,0:00,,,,1:00,7.1,0.0,4.9,legauch01
161,Charlie Coyle,CBJ,C/RW,0:45,82,14:00,-0.6,3.2,3.0,2:01,-2.2,6.9,1.8,2:04,-2.4,1.1,10.9,coylech01
162,Charlie McAvoy,BOS,D,0:52,69,18:30,-0.1,3.9,3.1,3:04,-4.4,11.1,1.7,2:48,-0.9,0.3,8.7,mcavoch01
163,Chris Kreider,ANA,LW,0:45,75,13:14,4.8,3.8,3.9,3:15,3.9,8.1,0.7,0:33,2.3,0.0,7.2,kreidch01
164,Chris Tanev,TOR,D,0:34,11,15:47,-2.4,4.5,1.7,0:02,11.0,0.0,0.0,2:08,-5.6,0.0,5.1,tanevch01
165,Christian Dvorak,PHI,C,0:30,80,14:48,-1.9,3.6,2.9,1:40,-1.3,4.9,2.2,1:58,0.3,0.4,10.3,dvorach01
166,Claude Giroux,OTT,C/LW,0:47,82,12:43,2.4,3.7,2.4,2:10,-0.6,7.7,1.0,1:23,-3.6,0.5,8.9,giroucl01
167,Clayton Keller,UTA,C,0:46,82,15:47,6.2,3.9,2.9,3:17,0.0,8.7,0.7,0:00,-11.0,0.0,0.0,kellecl01
168,Cody Ceci,LAK,D,0:48,82,15:34,-2.1,1.8,2.5,0:00,-26.7,0.0,0.0,1:58,-3.3,1.9,8.2,cecico01
169,Cody Glass,NJD,C,0:37,70,12:31,-0.7,2.7,2.5,0:22,-3.6,6.7,2.2,0:42,1.1,0.0,7.2,glassco01
170,Cole Caufield,MTL,RW,0:56,81,14:48,8.6,4.1,2.6,3:22,4.8,10.1,0.2,0:00,,0.0,0.0,caufico01
171,Cole Hutson,WSH,D,0:37,14,15:13,4.8,2.3,2.8,2:11,-0.8,11.7,1.9,0:02,-9.2,0.0,0.0,hutsoco01
172,Cole Koepke,WPG,LW,0:30,66,8:39,-2.8,2.0,2.0,0:00,,0.0,0.0,1:47,0.2,0.5,7.1,koepkco01
173,Cole McWard,NYI,D,0:58,3,13:44,-14.5,4.4,2.9,0:00,,,,0:00,,,,mcwarco01
174,Cole O'Hara,NSH,RW,0:39,1,11:01,-12.0,5.4,0.0,0:22,,0.0,0.0,0:00,,,,oharaco01
175,Cole Perfetti,WPG,C,0:49,68,13:21,3.7,2.3,2.7,2:15,-4.7,6.2,1.2,0:00,-11.3,0.0,0.0,perfeco01
176,Cole Reinhardt,TOT,LW,0:49,59,10:29,-14.5,3.7,2.5,0:03,,,,0:05,-14.6,0.0,0.0,reinhco01
177,Cole Schwindt,FLA,RW,0:35,29,9:01,-3.6,3.0,2.5,0:13,-25.5,9.1,0.0,0:47,-2.0,0.0,10.4,schwico01
178,Cole Sillinger,CBJ,C,0:37,81,14:08,-1.6,3.0,2.9,0:17,-4.2,5.1,0.0,0:47,2.1,0.0,3.7,sillico01
179,Cole Smith,TOT,F,0:41,63,11:17,-2.4,2.1,3.0,0:01,-39.6,0.0,0.0,1:57,-5.4,0.6,9.5,smithco02
180,Colin Blackwell,DAL,C,0:43,70,9:49,-0.9,2.0,2.3,0:00,12.5,0.0,0.0,2:03,-2.1,0.4,5.4,blackco01
181,Colin Miller,WPG,D,0:40,18,13:21,-2.0,1.2,3.2,0:47,12.2,8.4,0.0,0:07,27.6,0.0,0.0,milleco02
182,Collin Graf,SJS,F,0:50,81,13:29,-3.8,2.9,2.7,0:29,-4.2,4.5,0.0,2:28,-1.8,0.9,5.4,grafco01
183,Colton Dach,TOT,C,0:36,61,10:42,-1.4,1.2,2.5,0:45,1.3,3.9,2.6,0:01,-10.9,0.0,40.9,dachco01
184,Colton Parayko,STL,D,0:54,77,19:30,-2.2,2.3,2.6,0:12,2.7,3.7,0.0,2:28,-5.3,0.6,7.2,parayco01
185,Colton Sissons,VEG,C,0:28,66,10:33,-5.4,1.3,2.2,0:28,-10.0,9.5,0.0,1:27,-2.6,0.0,6.8,sissoco01
186,Colton White,NJD,D,0:38,23,12:09,-3.8,2.1,1.7,0:00,,,,0:05,-8.1,0.0,0.0,whiteco03
187,Connor Bedard,CHI,C,0:39,69,17:21,-0.4,3.2,4.0,3:29,0.6,6.7,0.5,0:01,-11.4,0.0,0.0,bedarco01
188,Connor Brown,NJD,RW,0:54,75,14:12,-1.4,2.9,2.9,1:29,-4.7,8.6,1.6,1:51,-3.2,0.9,6.9,brownco02
189,Connor Clattenburg,EDM,F,0:33,5,7:05,-2.5,1.7,0.0,0:04,3.1,0.0,0.0,0:02,94.6,0.0,0.0,clattco01
190,Connor Clifton,PIT,D,0:39,50,14:41,-1.6,2.5,2.3,0:00,,0.0,0.0,2:03,-1.4,1.2,8.8,cliftco01
191,Connor Dewar,PIT,C,0:33,78,11:12,-0.8,3.3,2.3,0:01,-5.2,0.0,0.0,2:41,-2.5,0.6,6.0,dewarco01
192,Connor Mackey,NYR,D,0:40,3,12:34,5.5,0.0,4.8,0:00,,,,0:13,-11.4,0.0,0.0,mackeco01
193,Connor McDavid,EDM,C,0:50,82,18:19,7.1,4.2,3.3,3:36,1.1,13.0,1.4,1:03,15.1,2.1,4.8,mcdavco01
194,Connor McMichael,WSH,C,0:44,78,13:14,-2.5,3.5,3.0,1:36,0.5,4.8,1.4,2:02,-0.7,0.4,6.0,mcmicco01
195,Connor Murphy,TOT,D,0:42,80,14:46,-2.2,2.2,2.6,0:01,14.3,0.0,0.0,2:43,-1.6,0.7,5.8,murphco02
196,Connor Zary,CGY,C,0:39,74,12:43,1.0,2.2,2.6,1:38,-0.2,4.4,1.5,0:00,,0.0,0.0,zaryco01
197,Conor Garland,TOT,RW,0:40,71,13:48,0.1,1.9,3.3,2:04,11.8,5.5,0.0,1:18,,0.0,0.0,garlaco01
198,Conor Geekie,TBL,C,0:29,14,9:35,-3.4,2.2,3.6,0:17,-3.2,0.0,0.0,0:00,,,,geekico01
199,Conor Sheary,NYR,LW,0:46,62,12:38,-0.8,1.8,1.9,0:53,-3.9,5.4,0.0,0:33,4.4,3.5,5.2,shearco01
200,Conor Timmins,BUF,D,0:41,39,15:43,-8.6,2.3,3.2,0:00,10.1,0.0,0.0,3:01,-5.5,0.5,7.1,timmico01
201,Corey Perry,TOT,RW,0:37,72,11:20,-0.6,2.7,2.5,2:19,-0.5,9.9,1.3,0:00,-15.9,0.0,327.3,perryco01
202,Curtis Douglas,TOT,C,0:16,43,6:43,-0.5,1.7,1.4,0:00,,0.0,0.0,0:00,,0.0,0.0,douglcu01
203,Curtis Lazar,EDM,C/RW,0:32,45,8:21,-6.9,1.8,2.2,0:00,9.7,0.0,0.0,0:33,-6.6,0.0,14.5,lazarcu01
204,Cutter Gauthier,ANA,LW,0:45,76,14:08,4.5,3.7,3.7,2:48,-1.1,8.7,1.1,0:18,4.7,2.5,7.6,gauthcu01
205,Daemon Hunt,MIN,D,0:32,32,11:17,-11.4,1.7,2.3,0:09,-5.4,0.0,0.0,0:58,-2.3,1.9,13.4,huntda01
206,Dakota Joshua,TOR,C,0:37,55,11:24,-0.5,2.7,3.0,0:15,-1.4,0.0,0.0,0:34,-2.6,0.0,5.7,joshuda01
207,Dakota Mermis,TOR,D,0:31,11,12:23,2.9,1.3,2.6,0:00,,0.0,0.0,0:37,-0.9,0.0,0.0,mermida01
208,Dalibor Dvorsky,STL,C,0:46,71,12:22,0.2,2.2,2.5,1:57,-0.5,6.5,0.4,0:00,,0.0,0.0,dvorsda01
209,Damon Severson,CBJ,D,0:44,71,19:20,5.7,3.2,2.5,1:06,4.6,3.8,0.0,0:36,10.0,1.4,4.1,severda01
210,Daniil Miromanov,CGY,D/RW,0:35,1,17:13,-24.2,7.0,7.0,0:00,,,,0:36,0.0,0.0,0.0,miromda01
211,Danil But,UTA,LW,0:47,29,11:07,2.4,2.2,2.0,1:20,7.1,4.6,0.0,0:00,-8.6,0.0,0.0,butda01
212,Danil Zhilkin,WPG,C,0:33,6,6:46,-20.3,4.4,0.0,0:00,,,,0:48,-3.9,0.0,0.0,zhilkda01
213,Danila Yurov,MIN,RW,0:52,73,12:26,-2.5,2.5,2.9,0:36,-4.1,9.3,1.3,0:14,-5.7,0.0,0.0,yurovda01
214,Dante Fabbro,CBJ,D,0:36,74,14:59,-5.4,1.7,2.6,0:02,11.0,0.0,0.0,1:32,-2.3,0.0,6.9,fabbrda01
215,Danton Heinen,TOT,C/LW,0:36,46,11:01,0.9,3.1,2.1,0:07,,0.0,0.0,0:11,88.2,0.0,0.0,heineda01
216,Darnell Nurse,EDM,D,0:38,82,19:14,-4.2,2.3,2.9,0:14,-1.9,6.2,0.0,1:29,0.3,1.5,10.3,nurseda01
217,Darren Raddysh,TBL,D,0:37,73,18:09,5.3,4.0,2.8,3:44,0.8,9.0,1.1,0:46,11.3,0.0,3.2,raddyda01
218,David Jiříček,TOT,D,0:31,26,11:31,-2.1,2.4,2.4,0:06,9.7,22.6,0.0,0:23,-1.6,0.0,17.6,jiricda01
219,David Kämpf,TOT,C,0:37,40,13:13,0.3,1.4,2.9,0:02,,0.0,0.0,1:27,-3.4,1.0,12.3,kampfda01
220,David Pastrňák,BOS,RW,0:53,77,16:58,-0.2,3.7,3.1,3:38,-4.8,9.8,1.7,0:02,-11.6,0.0,19.5,pastrda01
221,David Perron,TOT,LW,0:35,65,11:40,-5.8,2.1,4.8,1:53,-15.1,2.7,0.0,0:00,,,,perroda01
222,David Reinbacher,MTL,D,0:45,2,13:08,1.9,2.3,2.3,0:00,,,,0:00,,,,reinbda01
223,David Spacek,MIN,D,0:50,2,10:45,-28.6,2.8,5.6,0:00,,,,0:00,,,,spaceda01
224,David Tomasek,EDM,F,0:41,22,8:56,-5.8,1.8,3.1,1:47,-4.8,12.1,3.0,0:01,87.3,0.0,0.0,tomasda01
225,Dawson Mercer,NJD,C,0:41,82,14:58,1.2,2.4,2.7,1:36,0.8,7.3,0.5,1:39,1.6,1.8,8.0,merceda01
226,Declan Carlile,TBL,D,0:36,42,13:39,-4.4,2.6,2.1,0:00,,0.0,0.0,1:07,5.1,0.0,7.7,carlide01
227,Declan Chisholm,WSH,D,0:47,26,13:08,-4.7,2.8,2.3,0:18,-15.8,0.0,0.0,0:16,6.2,0.0,16.8,chishde01
228,Dennis Cholowski,NJD,D,0:51,17,14:27,-9.6,1.5,3.2,0:07,9.4,0.0,0.0,0:05,59.7,39.6,0.0,cholode01
229,Dennis Gilbert,OTT,D,0:38,8,12:25,-8.5,1.8,1.8,0:00,,0.0,0.0,0:15,,0.0,0.0,gilbede01
230,Denton Mateychuk,CBJ,D,0:42,75,17:04,1.8,3.0,2.4,0:33,-0.1,4.3,1.4,1:33,0.1,0.5,11.8,mateyde01
231,Denver Barkey,PHI,C,0:44,43,11:47,2.4,2.6,3.0,1:36,-1.5,4.3,2.6,0:00,,0.0,0.0,barkede01
232,Derek Forbort,VAN,D,0:37,2,10:55,-17.8,2.7,2.7,0:00,,,,3:01,10.3,0.0,0.0,forbode01
233,Devon Toews,COL,D,0:50,68,18:32,-0.4,4.0,2.2,1:24,-4.9,1.9,1.3,2:25,-0.2,0.4,5.8,toewsde01
234,Dmitri Voronkov,CBJ,LW,0:42,63,11:55,3.4,3.0,3.0,2:00,0.0,8.0,0.5,0:00,38.0,0.0,0.0,vorondi01
235,Dmitriy Simashev,UTA,D,0:45,28,14:54,-7.5,1.0,2.6,0:01,14.5,0.0,0.0,0:10,-10.8,0.0,12.2,simasdm01
236,Dmitry Kulikov,FLA,D,0:35,19,16:18,-1.3,1.9,2.9,0:02,7.2,0.0,0.0,1:41,3.4,0.0,7.4,kulikdm01
237,Dmitry Orlov,SJS,D,0:46,82,17:56,5.4,2.4,3.4,2:28,-0.1,9.4,0.6,0:46,-2.9,0.0,9.4,orlovdm01
238,Domenick Fensore,CAR,D,0:35,1,18:17,-22.3,0.0,6.6,0:00,,,,1:05,-20.0,0.0,0.0,fensodo01
239,Dominic James,TBL,C,0:32,43,11:28,-1.0,2.4,1.9,0:41,-4.2,6.0,0.0,0:03,-12.3,0.0,21.3,jamesdo01
240,Dominic Toninato,CHI,C,0:33,8,9:09,11.7,0.8,0.8,0:00,,,,0:00,,,,tonindo01
241,Dominik Shine,DET,F,0:31,18,6:47,-10.8,2.0,2.0,0:02,,0.0,0.0,0:06,-12.1,0.0,30.3,shinedo01
242,Donovan Sebrango,TOT,D,0:48,42,14:17,-2.1,2.8,3.3,0:01,8.7,0.0,0.0,0:46,6.1,0.0,7.3,sebrado01
243,Dougie Hamilton,NJD,D,0:42,77,18:01,4.2,2.6,2.7,2:04,-5.0,9.4,1.1,1:26,10.4,1.6,6.5,hamildo01
244,Drake Batherson,OTT,C,0:43,79,14:08,4.9,2.7,2.9,3:12,2.7,10.9,0.9,0:00,-12.9,0.0,0.0,bathedr01
245,Drew Doughty,LAK,D,0:49,72,20:07,2.3,2.7,2.4,1:40,0.0,3.0,2.5,1:16,10.0,1.3,12.4,doughdr01
246,Drew Fortescue,NYR,D,0:41,9,14:37,-4.9,3.6,1.8,0:10,10.3,0.0,0.0,0:02,-12.5,0.0,0.0,fortedr01
247,Drew Helleson,ANA,D,0:37,60,15:23,-5.1,2.8,3.2,0:05,-21.6,0.0,0.0,1:29,-1.2,2.0,5.4,helledr01
248,Drew O'Connor,VAN,F,0:37,82,13:09,2.0,2.2,3.1,0:23,4.7,3.7,0.0,1:02,4.9,2.8,14.8,oconndr01
249,Dryden Hunt,CGY,LW,1:03,3,8:56,-3.6,0.0,6.7,0:00,,,,0:00,,,,huntdr01
250,Dylan Coghlan,VEG,D,0:44,3,14:56,0.4,4.0,2.7,0:07,,0.0,0.0,0:00,,,,coghldy01
251,Dylan Cozens,OTT,C,0:36,82,13:46,6.3,2.5,2.7,3:11,0.7,10.8,0.7,0:05,11.0,0.0,8.7,cozendy01
252,Dylan DeMelo,WPG,D,0:45,82,19:03,0.5,2.8,2.5,0:07,-8.2,0.0,0.0,2:16,-2.0,0.3,8.7,demeldy01
253,Dylan Duke,TBL,LW,0:44,1,8:41,-18.1,0.0,6.9,0:41,,0.0,0.0,0:00,,,,dukedy01
254,Dylan Guenther,UTA,RW,0:47,79,13:52,0.4,3.6,3.0,3:15,-0.2,9.1,0.7,0:16,8.0,0.0,11.3,guentdy01
255,Dylan Holloway,STL,C,0:38,59,15:42,2.9,3.8,2.9,2:14,0.5,5.9,0.5,0:17,10.3,0.0,7.0,hollody01
256,Dylan Larkin,DET,C,0:38,74,15:24,3.0,3.2,2.9,3:15,2.7,10.2,0.7,1:31,2.2,1.1,7.4,larkidy01
257,Dylan McIlrath,WSH,D,0:36,13,9:09,-8.7,0.5,1.0,0:00,,,,0:09,-5.9,0.0,0.0,mcilrdy01
258,Dylan Samberg,WPG,D,0:55,66,19:10,1.6,2.3,2.2,0:06,-12.5,0.0,0.0,2:32,-6.0,1.1,7.9,sambedy01
259,Dylan Strome,WSH,C,0:43,80,14:51,1.3,3.8,3.3,3:07,-1.5,8.2,1.7,0:03,80.2,0.0,0.0,stromdy01
260,Dysin Mayo,CBJ,D,0:33,3,8:24,16.6,4.8,2.4,0:00,,,,0:00,,,,mayody01
261,Easton Cowan,TOR,RW,0:56,66,13:09,1.3,2.5,2.7,1:33,0.1,7.6,1.2,0:00,,0.0,0.0,cowanea01
262,Eeli Tolvanen,SEA,RW,0:44,78,13:09,-3.1,2.2,3.2,1:50,0.6,7.9,0.8,1:02,3.7,0.7,13.4,tolvaee01
263,Eetu Luostarinen,FLA,C,0:36,73,13:32,1.8,3.2,2.9,1:06,-3.3,2.2,0.7,1:54,-5.1,0.4,6.0,luostee01
264,Egor Chinakhov,TOT,RW,0:46,72,12:09,0.2,1.7,2.9,1:18,-0.6,0.0,0.0,0:00,,0.0,0.0,chinaye01
265,Egor Zamula,TOT,D,0:49,33,12:37,-4.4,2.2,1.7,0:00,,0.0,0.0,0:26,13.8,0.0,9.2,zamulye01
266,Elias Lindholm,BOS,C,0:47,69,14:10,-2.5,3.1,3.4,2:44,-4.5,10.5,1.0,0:57,-0.8,0.0,7.2,lindhel01
267,Elias Pettersson,VAN,C,0:48,74,14:49,0.6,2.3,3.8,3:12,0.8,9.3,1.0,0:56,-1.6,0.9,15.6,petteel01
268,Elias Pettersson,VAN,D,0:37,70,13:45,-4.5,1.9,3.1,0:02,11.7,0.0,0.0,1:10,3.4,1.5,7.3,petteel02
269,Elias Salomonsson,WPG,D,0:41,32,16:47,4.1,1.8,2.5,0:21,14.4,5.2,0.0,0:48,-2.2,0.0,6.9,salomel01
270,Elmer Söderblom,TOT,RW,0:38,59,10:51,-1.5,0.9,1.5,0:10,9.0,0.0,0.0,0:04,-8.1,0.0,0.0,soderel01
271,Emil Andrae,PHI,D,0:33,61,14:45,2.4,2.6,1.6,0:23,5.2,2.5,0.0,0:11,3.2,0.0,15.7,andraem01
272,Emil Heineman,NYI,LW,0:46,82,14:18,2.0,2.3,2.8,1:43,-0.1,6.3,1.7,0:34,-0.7,0.0,5.1,heineem01
273,Emil Martinsen Lilleberg,TBL,D,0:40,50,15:39,-2.8,3.2,2.2,0:01,-19.3,0.0,0.0,1:36,-0.7,1.5,8.2,martiem01
274,Emmitt Finnie,DET,C,0:36,82,13:26,0.5,2.4,2.8,1:23,-3.1,6.8,0.5,0:40,-5.6,0.0,8.8,finniem01
275,Eric Robinson,CAR,LW,0:38,67,10:20,-3.8,2.6,2.1,0:02,11.3,0.0,0.0,1:01,4.0,0.9,6.9,robiner01
276,Erik Černák,TBL,D,0:59,61,14:55,-6.0,2.8,2.8,0:03,13.5,0.0,0.0,2:37,-2.2,1.1,6.4,cernaer01
277,Erik Gudbranson,CBJ,D,0:41,37,15:01,-14.4,2.8,2.4,0:00,,0.0,0.0,2:44,-2.7,1.2,9.4,gudbrer01
278,Erik Gustafsson,DET,D,0:57,2,17:36,3.9,0.0,3.4,1:08,-33.3,0.0,0.0,0:00,,,,gustaer02
279,Erik Haula,NSH,LW,0:38,81,13:12,-2.4,2.4,3.4,1:29,-4.8,8.5,0.0,1:59,0.2,1.1,4.5,haulaer01
280,Erik Karlsson,PIT,D,0:48,75,18:23,5.5,3.7,3.0,3:20,10.0,9.8,1.9,1:52,-2.5,0.9,4.7,karlser01
281,Esa Lindell,DAL,D,0:54,82,18:32,0.7,3.2,2.1,0:45,-1.4,4.8,0.0,3:55,-6.8,0.4,7.3,lindees01
282,Ethan Cardwell,SJS,RW,0:46,7,11:29,-3.9,1.5,3.7,0:09,12.1,0.0,0.0,0:17,8.2,0.0,0.0,cardwet01
283,Ethan Del Mastro,CHI,D,0:39,19,13:20,3.1,0.7,3.3,0:00,,0.0,0.0,0:47,-0.5,0.0,4.0,delmaet01
284,Ethen Frank,WSH,F,0:38,62,10:43,-2.1,3.0,2.2,1:29,1.3,5.8,0.6,0:01,,0.0,0.0,franket01
285,Evan Bouchard,EDM,D,0:50,82,19:14,8.6,4.2,3.1,3:37,-3.7,12.5,1.4,1:48,1.2,1.2,7.3,bouchev01
286,Evan Rodrigues,FLA,C,0:39,69,13:49,4.6,2.4,3.4,1:53,-3.4,6.0,0.5,1:16,2.2,0.7,5.4,rodriev01
287,Evander Kane,VAN,LW,0:57,71,14:48,0.0,2.5,3.4,1:34,-6.6,5.9,1.6,0:01,-13.8,0.0,0.0,kaneev01
288,Evgeni Malkin,PIT,C,0:51,56,14:26,1.1,4.2,2.7,3:09,8.0,10.9,2.0,0:00,,0.0,0.0,malkiev01
289,Evgenii Dadonov,NJD,RW,0:40,24,9:59,-10.1,1.0,2.5,0:40,5.7,3.7,0.0,0:00,,0.0,0.0,dadonev01
290,Fabian Zetterlund,OTT,W,0:37,82,11:41,0.0,2.8,2.8,1:10,-0.9,6.3,1.3,0:02,-12.5,0.0,0.0,zettefa01
291,Fedor Svechkov,NSH,C,0:49,70,11:27,-0.3,2.2,2.8,0:15,-16.6,0.0,0.0,0:21,7.1,2.4,4.8,svechfe01
292,Felix Unger Sorum,CAR,RW,0:40,1,13:46,-6.9,4.4,0.0,0:47,,0.0,0.0,0:02,,0.0,0.0,ungerfe01
293,Filip Chytil,VAN,C,0:58,12,13:45,7.0,1.8,4.4,1:13,-2.3,0.0,0.0,0:01,,0.0,0.0,chytifi01
294,Filip Forsberg,NSH,C,0:45,82,15:50,3.9,2.9,3.0,3:01,10.2,9.4,0.2,0:00,-14.0,0.0,0.0,forsbfi01
295,Filip Hallander,PIT,C,0:28,13,11:51,1.8,2.7,1.6,0:17,16.3,16.1,0.0,0:59,23.8,4.6,0.0,hallafi01
296,Filip Hronek,VAN,D,0:46,82,20:46,5.5,2.3,3.1,1:56,-2.2,10.6,1.1,2:17,-2.1,1.0,10.2,hronefi01
297,Florian Xhekaj,MTL,LW,0:33,5,9:35,-3.7,1.3,2.5,0:00,,0.0,0.0,0:00,,,,xhekafl01
298,Frank Nazar,CHI,C,0:31,66,14:02,0.2,2.4,3.8,3:08,0.4,5.8,0.0,1:07,-0.3,0.8,3.2,nazarfr01
299,Frank Vatrano,ANA,LW,0:40,50,10:16,-5.0,1.9,3.6,0:44,2.4,3.2,0.0,0:48,-10.9,0.0,3.0,vatrafr01
300,Fraser Minten,BOS,C,0:49,82,13:01,1.9,2.9,1.7,0:58,-1.6,4.5,1.5,1:33,5.4,0.9,8.0,mintefr01
301,Frédérick Gaudreau,SEA,C,0:35,68,13:50,-5.8,2.3,2.4,0:17,0.4,12.1,0.0,2:00,-2.1,0.0,10.1,gaudrfr01
302,Gabriel Landeskog,COL,LW,0:46,60,13:51,-1.4,4.4,2.0,2:31,-1.8,6.4,1.6,0:01,10.9,0.0,30.3,landega01
303,Gabriel Perreault,NYR,RW,0:36,49,14:40,-0.1,2.7,2.6,1:18,-1.0,10.2,0.9,0:00,,,,perrega01
304,Gabriel Vilardi,WPG,C,1:00,82,15:38,1.1,3.4,3.7,3:04,-3.3,8.1,1.2,0:01,37.1,0.0,0.0,vilarga01
305,Gage Goncalves,TBL,C,0:38,74,11:53,0.0,4.2,2.4,0:58,-0.4,1.7,0.0,0:12,-4.9,0.0,3.8,goncaga01
306,Garnet Hathaway,PHI,RW,0:42,66,9:13,-2.9,1.3,1.9,0:02,12.2,0.0,0.0,1:08,-4.3,0.0,4.8,hathaga01
307,Garrett Wilson,PHI,LW,0:47,3,8:40,-9.8,2.3,2.3,0:00,,,,0:00,,,,wilsoga01
308,Gavin Brindley,COL,C,0:35,56,8:27,-3.9,3.2,2.5,1:02,-6.6,0.0,3.1,0:03,21.4,0.0,0.0,brindga01
309,Georgii Merkulov,BOS,F,1:02,1,10:35,-5.0,0.0,5.7,0:00,,,,0:00,,,,merkuge01
310,Gustav Forsling,FLA,D,0:41,80,18:58,1.7,3.0,3.4,0:35,-5.6,6.3,0.0,3:03,-7.2,0.7,8.3,forslgu02
311,Gustav Nyquist,WPG,RW,0:44,51,10:24,-1.8,1.4,2.3,1:46,7.0,6.6,0.0,0:29,0.4,0.0,4.7,nyquigu01
312,Hampus Lindholm,BOS,D,0:53,67,17:29,2.2,2.9,2.7,1:25,3.3,6.3,0.6,2:42,-2.1,0.0,6.9,lindhha01
